Description,state_full_name,state_abbrievation,state_code,county_name,county_code
"Onondaga County, New York",New York,NY,36,Onondaga,067
"Ontario County, New York",New York,NY,36,Ontario,069
"Orange County, New York",New York,NY,36,Orange,071
"Orleans County, New York",New York,NY,36,Orleans,073
"Oswego County, New York",New York,NY,36,Oswego,075
"Otsego County, New York",New York,NY,36,Otsego,077
"Putnam County, New York",New York,NY,36,Putnam,079
"Queens County, New York",New York,NY,36,Queens,081
"Rensselaer County, New York",New York,NY,36,Rensselaer,083
"Richmond County, New York",New York,NY,36,Richmond,085
"Rockland County, New York",New York,NY,36,Rockland,087
"St. Lawrence County, New York",New York,NY,36,St. Lawrence,089
"Saratoga County, New York",New York,NY,36,Saratoga,091
"Schenectady County, New York",New York,NY,36,Schenectady,093
"Schoharie County, New York",New York,NY,36,Schoharie,095
"Schuyler County, New York",New York,NY,36,Schuyler,097
"Seneca County, New York",New York,NY,36,Seneca,099
"Steuben County, New York",New York,NY,36,Steuben,101
"Suffolk County, New York",New York,NY,36,Suffolk,103
"Sullivan County, New York",New York,NY,36,Sullivan,105
"Tioga County, New York",New York,NY,36,Tioga,107
"Tompkins County, New York",New York,NY,36,Tompkins,109
"Ulster County, New York",New York,NY,36,Ulster,111
"Warren County, New York",New York,NY,36,Warren,113
"Washington County, New York",New York,NY,36,Washington,115
"Wayne County, New York",New York,NY,36,Wayne,117
"Westchester County, New York",New York,NY,36,Westchester,119
"Wyoming County, New York",New York,NY,36,Wyoming,121
"Yates County, New York",New York,NY,36,Yates,123
"Alamance County, North Carolina",North Carolina,NC,37,Alamance,001
"Alexander County, North Carolina",North Carolina,NC,37,Alexander,003
"Alleghany County, North Carolina",North Carolina,NC,37,Alleghany,005
"Anson County, North Carolina",North Carolina,NC,37,Anson,007
"Ashe County, North Carolina",North Carolina,NC,37,Ashe,009
"Avery County, North Carolina",North Carolina,NC,37,Avery,011
"Beaufort County, North Carolina",North Carolina,NC,37,Beaufort,013
"Bertie County, North Carolina",North Carolina,NC,37,Bertie,015
"Bladen County, North Carolina",North Carolina,NC,37,Bladen,017
"Brunswick County, North Carolina",North Carolina,NC,37,Brunswick,019
"Buncombe County, North Carolina",North Carolina,NC,37,Buncombe,021
"Burke County, North Carolina",North Carolina,NC,37,Burke,023
"Cabarrus County, North Carolina",North Carolina,NC,37,Cabarrus,025
"Caldwell County, North Carolina",North Carolina,NC,37,Caldwell,027
"Camden County, North Carolina",North Carolina,NC,37,Camden,029
"Carteret County, North Carolina",North Carolina,NC,37,Carteret,031
"Caswell County, North Carolina",North Carolina,NC,37,Caswell,033
"Catawba County, North Carolina",North Carolina,NC,37,Catawba,035
"Chatham County, North Carolina",North Carolina,NC,37,Chatham,037
"Cherokee County, North Carolina",North Carolina,NC,37,Cherokee,039
"Chowan County, North Carolina",North Carolina,NC,37,Chowan,041
"Clay County, North Carolina",North Carolina,NC,37,Clay,043
"Cleveland County, North Carolina",North Carolina,NC,37,Cleveland,045
"Columbus County, North Carolina",North Carolina,NC,37,Columbus,047
"Craven County, North Carolina",North Carolina,NC,37,Craven,049
"Cumberland County, North Carolina",North Carolina,NC,37,Cumberland,051
"Currituck County, North Carolina",North Carolina,NC,37,Currituck,053
"Dare County, North Carolina",North Carolina,NC,37,Dare,055
"Davidson County, North Carolina",North Carolina,NC,37,Davidson,057
"Davie County, North Carolina",North Carolina,NC,37,Davie,059
"Duplin County, North Carolina",North Carolina,NC,37,Duplin,061
"Durham County, North Carolina",North Carolina,NC,37,Durham,063
"Edgecombe County, North Carolina",North Carolina,NC,37,Edgecombe,065
"Forsyth County, North Carolina",North Carolina,NC,37,Forsyth,067
"Franklin County, North Carolina",North Carolina,NC,37,Franklin,069
"Gaston County, North Carolina",North Carolina,NC,37,Gaston,071
"Gates County, North Carolina",North Carolina,NC,37,Gates,073
"Graham County, North Carolina",North Carolina,NC,37,Graham,075
"Granville County, North Carolina",North Carolina,NC,37,Granville,077
"Greene County, North Carolina",North Carolina,NC,37,Greene,079
"Guilford County, North Carolina",North Carolina,NC,37,Guilford,081
"Halifax County, North Carolina",North Carolina,NC,37,Halifax,083
"Harnett County, North Carolina",North Carolina,NC,37,Harnett,085
"Haywood County, North Carolina",North Carolina,NC,37,Haywood,087
"Henderson County, North Carolina",North Carolina,NC,37,Henderson,089
"Hertford County, North Carolina",North Carolina,NC,37,Hertford,091
"Hoke County, North Carolina",North Carolina,NC,37,Hoke,093
"Hyde County, North Carolina",North Carolina,NC,37,Hyde,095
"Iredell County, North Carolina",North Carolina,NC,37,Iredell,097
"Jackson County, North Carolina",North Carolina,NC,37,Jackson,099
"Johnston County, North Carolina",North Carolina,NC,37,Johnston,101
"Jones County, North Carolina",North Carolina,NC,37,Jones,103
"Lee County, North Carolina",North Carolina,NC,37,Lee,105
"Lenoir County, North Carolina",North Carolina,NC,37,Lenoir,107
"Lincoln County, North Carolina",North Carolina,NC,37,Lincoln,109
"McDowell County, North Carolina",North Carolina,NC,37,McDowell,111
"Macon County, North Carolina",North Carolina,NC,37,Macon,113
"Madison County, North Carolina",North Carolina,NC,37,Madison,115
"Martin County, North Carolina",North Carolina,NC,37,Martin,117
"Mecklenburg County, North Carolina",North Carolina,NC,37,Mecklenburg,119
"Mitchell County, North Carolina",North Carolina,NC,37,Mitchell,121
"Montgomery County, North Carolina",North Carolina,NC,37,Montgomery,123
"Moore County, North Carolina",North Carolina,NC,37,Moore,125
"Nash County, North Carolina",North Carolina,NC,37,Nash,127
"New Hanover County, North Carolina",North Carolina,NC,37,New Hanover,129
"Northampton County, North Carolina",North Carolina,NC,37,Northampton,131
"Onslow County, North Carolina",North Carolina,NC,37,Onslow,133
"Orange County, North Carolina",North Carolina,NC,37,Orange,135
"Pamlico County, North Carolina",North Carolina,NC,37,Pamlico,137
"Pasquotank County, North Carolina",North Carolina,NC,37,Pasquotank,139
"Pender County, North Carolina",North Carolina,NC,37,Pender,141
"Perquimans County, North Carolina",North Carolina,NC,37,Perquimans,143
"Person County, North Carolina",North Carolina,NC,37,Person,145
"Pitt County, North Carolina",North Carolina,NC,37,Pitt,147
"Polk County, North Carolina",North Carolina,NC,37,Polk,149
"Randolph County, North Carolina",North Carolina,NC,37,Randolph,151
"Richmond County, North Carolina",North Carolina,NC,37,Richmond,153
"Robeson County, North Carolina",North Carolina,NC,37,Robeson,155
"Rockingham County, North Carolina",North Carolina,NC,37,Rockingham,157
"Rowan County, North Carolina",North Carolina,NC,37,Rowan,159
"Rutherford County, North Carolina",North Carolina,NC,37,Rutherford,161
"Sampson County, North Carolina",North Carolina,NC,37,Sampson,163
"Scotland County, North Carolina",North Carolina,NC,37,Scotland,165
"Stanly County, North Carolina",North Carolina,NC,37,Stanly,167
"Stokes County, North Carolina",North Carolina,NC,37,Stokes,169
"Surry County, North Carolina",North Carolina,NC,37,Surry,171
"Swain County, North Carolina",North Carolina,NC,37,Swain,173
"Transylvania County, North Carolina",North Carolina,NC,37,Transylvania,175
"Tyrrell County, North Carolina",North Carolina,NC,37,Tyrrell,177
"Union County, North Carolina",North Carolina,NC,37,Union,179
"Vance County, North Carolina",North Carolina,NC,37,Vance,181
"Wake County, North Carolina",North Carolina,NC,37,Wake,183
"Warren County, North Carolina",North Carolina,NC,37,Warren,185
"Washington County, North Carolina",North Carolina,NC,37,Washington,187
"Watauga County, North Carolina",North Carolina,NC,37,Watauga,189
"Wayne County, North Carolina",North Carolina,NC,37,Wayne,191
"Wilkes County, North Carolina",North Carolina,NC,37,Wilkes,193
"Wilson County, North Carolina",North Carolina,NC,37,Wilson,195
"Yadkin County, North Carolina",North Carolina,NC,37,Yadkin,197
"Yancey County, North Carolina",North Carolina,NC,37,Yancey,199
"Adams County, North Dakota",North Dakota,ND,38,Adams,001
"Barnes County, North Dakota",North Dakota,ND,38,Barnes,003
"Benson County, North Dakota",North Dakota,ND,38,Benson,005
"Billings County, North Dakota",North Dakota,ND,38,Billings,007
"Bottineau County, North Dakota",North Dakota,ND,38,Bottineau,009
"Bowman County, North Dakota",North Dakota,ND,38,Bowman,011
"Burke County, North Dakota",North Dakota,ND,38,Burke,013
"Burleigh County, North Dakota",North Dakota,ND,38,Burleigh,015
"Cass County, North Dakota",North Dakota,ND,38,Cass,017
"Cavalier County, North Dakota",North Dakota,ND,38,Cavalier,019
"Dickey County, North Dakota",North Dakota,ND,38,Dickey,021
"Divide County, North Dakota",North Dakota,ND,38,Divide,023
"Dunn County, North Dakota",North Dakota,ND,38,Dunn,025
"Eddy County, North Dakota",North Dakota,ND,38,Eddy,027
"Emmons County, North Dakota",North Dakota,ND,38,Emmons,029
"Foster County, North Dakota",North Dakota,ND,38,Foster,031
"Golden Valley County, North Dakota",North Dakota,ND,38,Golden Valley,033
"Grand Forks County, North Dakota",North Dakota,ND,38,Grand Forks,035
"Grant County, North Dakota",North Dakota,ND,38,Grant,037
"Griggs County, North Dakota",North Dakota,ND,38,Griggs,039
"Hettinger County, North Dakota",North Dakota,ND,38,Hettinger,041
"Kidder County, North Dakota",North Dakota,ND,38,Kidder,043
"LaMoure County, North Dakota",North Dakota,ND,38,LaMoure,045
"Logan County, North Dakota",North Dakota,ND,38,Logan,047
"McHenry County, North Dakota",North Dakota,ND,38,McHenry,049
"McIntosh County, North Dakota",North Dakota,ND,38,McIntosh,051
"McKenzie County, North Dakota",North Dakota,ND,38,McKenzie,053
"McLean County, North Dakota",North Dakota,ND,38,McLean,055
"Mercer County, North Dakota",North Dakota,ND,38,Mercer,057
"Morton County, North Dakota",North Dakota,ND,38,Morton,059
"Mountrail County, North Dakota",North Dakota,ND,38,Mountrail,061
"Nelson County, North Dakota",North Dakota,ND,38,Nelson,063
"Oliver County, North Dakota",North Dakota,ND,38,Oliver,065
"Pembina County, North Dakota",North Dakota,ND,38,Pembina,067
"Pierce County, North Dakota",North Dakota,ND,38,Pierce,069
"Ramsey County, North Dakota",North Dakota,ND,38,Ramsey,071
"Ransom County, North Dakota",North Dakota,ND,38,Ransom,073
"Renville County, North Dakota",North Dakota,ND,38,Renville,075
"Richland County, North Dakota",North Dakota,ND,38,Richland,077
"Rolette County, North Dakota",North Dakota,ND,38,Rolette,079
"Sargent County, North Dakota",North Dakota,ND,38,Sargent,081
"Sheridan County, North Dakota",North Dakota,ND,38,Sheridan,083
"Sioux County, North Dakota",North Dakota,ND,38,Sioux,085
"Slope County, North Dakota",North Dakota,ND,38,Slope,087
"Stark County, North Dakota",North Dakota,ND,38,Stark,089
"Steele County, North Dakota",North Dakota,ND,38,Steele,091
"Stutsman County, North Dakota",North Dakota,ND,38,Stutsman,093
"Towner County, North Dakota",North Dakota,ND,38,Towner,095
"Traill County, North Dakota",North Dakota,ND,38,Traill,097
"Walsh County, North Dakota",North Dakota,ND,38,Walsh,099
"Ward County, North Dakota",North Dakota,ND,38,Ward,101
"Wells County, North Dakota",North Dakota,ND,38,Wells,103
"Williams County, North Dakota",North Dakota,ND,38,Williams,105
"Adams County, Ohio",Ohio,OH,39,Adams,001
"Allen County, Ohio",Ohio,OH,39,Allen,003
"Ashland County, Ohio",Ohio,OH,39,Ashland,005
"Ashtabula County, Ohio",Ohio,OH,39,Ashtabula,007
"Athens County, Ohio",Ohio,OH,39,Athens,009
"Auglaize County, Ohio",Ohio,OH,39,Auglaize,011
"Belmont County, Ohio",Ohio,OH,39,Belmont,013
"Brown County, Ohio",Ohio,OH,39,Brown,015
"Butler County, Ohio",Ohio,OH,39,Butler,017
"Carroll County, Ohio",Ohio,OH,39,Carroll,019
"Champaign County, Ohio",Ohio,OH,39,Champaign,021
"Clark County, Ohio",Ohio,OH,39,Clark,023
"Clermont County, Ohio",Ohio,OH,39,Clermont,025
"Clinton County, Ohio",Ohio,OH,39,Clinton,027
"Columbiana County, Ohio",Ohio,OH,39,Columbiana,029
"Coshocton County, Ohio",Ohio,OH,39,Coshocton,031
"Crawford County, Ohio",Ohio,OH,39,Crawford,033
"Cuyahoga County, Ohio",Ohio,OH,39,Cuyahoga,035
"Darke County, Ohio",Ohio,OH,39,Darke,037
"Defiance County, Ohio",Ohio,OH,39,Defiance,039
"Delaware County, Ohio",Ohio,OH,39,Delaware,041
"Erie County, Ohio",Ohio,OH,39,Erie,043
"Fairfield County, Ohio",Ohio,OH,39,Fairfield,045
"Fayette County, Ohio",Ohio,OH,39,Fayette,047
"Franklin County, Ohio",Ohio,OH,39,Franklin,049
"Fulton County, Ohio",Ohio,OH,39,Fulton,051
"Gallia County, Ohio",Ohio,OH,39,Gallia,053
"Geauga County, Ohio",Ohio,OH,39,Geauga,055
"Greene County, Ohio",Ohio,OH,39,Greene,057
"Guernsey County, Ohio",Ohio,OH,39,Guernsey,059
"Hamilton County, Ohio",Ohio,OH,39,Hamilton,061
"Hancock County, Ohio",Ohio,OH,39,Hancock,063
"Hardin County, Ohio",Ohio,OH,39,Hardin,065
"Harrison County, Ohio",Ohio,OH,39,Harrison,067
"Henry County, Ohio",Ohio,OH,39,Henry,069
"Highland County, Ohio",Ohio,OH,39,Highland,071
"Hocking County, Ohio",Ohio,OH,39,Hocking,073
"Holmes County, Ohio",Ohio,OH,39,Holmes,075
"Huron County, Ohio",Ohio,OH,39,Huron,077
"Jackson County, Ohio",Ohio,OH,39,Jackson,079
"Jefferson County, Ohio",Ohio,OH,39,Jefferson,081
"Knox County, Ohio",Ohio,OH,39,Knox,083
"Lake County, Ohio",Ohio,OH,39,Lake,085
"Lawrence County, Ohio",Ohio,OH,39,Lawrence,087
"Licking County, Ohio",Ohio,OH,39,Licking,089
"Logan County, Ohio",Ohio,OH,39,Logan,091
"Lorain County, Ohio",Ohio,OH,39,Lorain,093
"Lucas County, Ohio",Ohio,OH,39,Lucas,095
"Madison County, Ohio",Ohio,OH,39,Madison,097
"Mahoning County, Ohio",Ohio,OH,39,Mahoning,099
"Marion County, Ohio",Ohio,OH,39,Marion,101
"Medina County, Ohio",Ohio,OH,39,Medina,103
"Meigs County, Ohio",Ohio,OH,39,Meigs,105
"Mercer County, Ohio",Ohio,OH,39,Mercer,107
"Miami County, Ohio",Ohio,OH,39,Miami,109
"Monroe County, Ohio",Ohio,OH,39,Monroe,111
"Montgomery County, Ohio",Ohio,OH,39,Montgomery,113
"Morgan County, Ohio",Ohio,OH,39,Morgan,115
"Morrow County, Ohio",Ohio,OH,39,Morrow,117
"Muskingum County, Ohio",Ohio,OH,39,Muskingum,119
"Noble County, Ohio",Ohio,OH,39,Noble,121
"Ottawa County, Ohio",Ohio,OH,39,Ottawa,123
"Paulding County, Ohio",Ohio,OH,39,Paulding,125
"Perry County, Ohio",Ohio,OH,39,Perry,127
"Pickaway County, Ohio",Ohio,OH,39,Pickaway,129
"Pike County, Ohio",Ohio,OH,39,Pike,131
"Portage County, Ohio",Ohio,OH,39,Portage,133
"Preble County, Ohio",Ohio,OH,39,Preble,135
"Putnam County, Ohio",Ohio,OH,39,Putnam,137
"Richland County, Ohio",Ohio,OH,39,Richland,139
"Ross County, Ohio",Ohio,OH,39,Ross,141
"Sandusky County, Ohio",Ohio,OH,39,Sandusky,143
"Scioto County, Ohio",Ohio,OH,39,Scioto,145
"Seneca County, Ohio",Ohio,OH,39,Seneca,147
"Shelby County, Ohio",Ohio,OH,39,Shelby,149
"Stark County, Ohio",Ohio,OH,39,Stark,151
"Summit County, Ohio",Ohio,OH,39,Summit,153
"Trumbull County, Ohio",Ohio,OH,39,Trumbull,155
"Tuscarawas County, Ohio",Ohio,OH,39,Tuscarawas,157
"Union County, Ohio",Ohio,OH,39,Union,159
"Van Wert County, Ohio",Ohio,OH,39,Van Wert,161
"Vinton County, Ohio",Ohio,OH,39,Vinton,163
"Warren County, Ohio",Ohio,OH,39,Warren,165
"Washington County, Ohio",Ohio,OH,39,Washington,167
"Wayne County, Ohio",Ohio,OH,39,Wayne,169
"Williams County, Ohio",Ohio,OH,39,Williams,171
"Wood County, Ohio",Ohio,OH,39,Wood,173
"Wyandot County, Ohio",Ohio,OH,39,Wyandot,175
"Adair County, Oklahoma",Oklahoma,OK,40,Adair,001
"Alfalfa County, Oklahoma",Oklahoma,OK,40,Alfalfa,003
"Atoka County, Oklahoma",Oklahoma,OK,40,Atoka,005
"Beaver County, Oklahoma",Oklahoma,OK,40,Beaver,007
"Beckham County, Oklahoma",Oklahoma,OK,40,Beckham,009
"Blaine County, Oklahoma",Oklahoma,OK,40,Blaine,011
"Bryan County, Oklahoma",Oklahoma,OK,40,Bryan,013
"Caddo County, Oklahoma",Oklahoma,OK,40,Caddo,015
"Canadian County, Oklahoma",Oklahoma,OK,40,Canadian,017
"Carter County, Oklahoma",Oklahoma,OK,40,Carter,019
"Cherokee County, Oklahoma",Oklahoma,OK,40,Cherokee,021
"Choctaw County, Oklahoma",Oklahoma,OK,40,Choctaw,023
"Cimarron County, Oklahoma",Oklahoma,OK,40,Cimarron,025
"Cleveland County, Oklahoma",Oklahoma,OK,40,Cleveland,027
"Coal County, Oklahoma",Oklahoma,OK,40,Coal,029
"Comanche County, Oklahoma",Oklahoma,OK,40,Comanche,031
"Cotton County, Oklahoma",Oklahoma,OK,40,Cotton,033
"Craig County, Oklahoma",Oklahoma,OK,40,Craig,035
"Creek County, Oklahoma",Oklahoma,OK,40,Creek,037
"Custer County, Oklahoma",Oklahoma,OK,40,Custer,039
"Delaware County, Oklahoma",Oklahoma,OK,40,Delaware,041
"Dewey County, Oklahoma",Oklahoma,OK,40,Dewey,043
"Ellis County, Oklahoma",Oklahoma,OK,40,Ellis,045
"Garfield County, Oklahoma",Oklahoma,OK,40,Garfield,047
"Garvin County, Oklahoma",Oklahoma,OK,40,Garvin,049
"Grady County, Oklahoma",Oklahoma,OK,40,Grady,051
"Grant County, Oklahoma",Oklahoma,OK,40,Grant,053
"Greer County, Oklahoma",Oklahoma,OK,40,Greer,055
"Harmon County, Oklahoma",Oklahoma,OK,40,Harmon,057
"Harper County, Oklahoma",Oklahoma,OK,40,Harper,059
"Haskell County, Oklahoma",Oklahoma,OK,40,Haskell,061
"Hughes County, Oklahoma",Oklahoma,OK,40,Hughes,063
"Jackson County, Oklahoma",Oklahoma,OK,40,Jackson,065
"Jefferson County, Oklahoma",Oklahoma,OK,40,Jefferson,067
"Johnston County, Oklahoma",Oklahoma,OK,40,Johnston,069
"Kay County, Oklahoma",Oklahoma,OK,40,Kay,071
"Kingfisher County, Oklahoma",Oklahoma,OK,40,Kingfisher,073
"Kiowa County, Oklahoma",Oklahoma,OK,40,Kiowa,075
"Latimer County, Oklahoma",Oklahoma,OK,40,Latimer,077
"Le Flore County, Oklahoma",Oklahoma,OK,40,Le Flore,079
"Lincoln County, Oklahoma",Oklahoma,OK,40,Lincoln,081
"Logan County, Oklahoma",Oklahoma,OK,40,Logan,083
"Love County, Oklahoma",Oklahoma,OK,40,Love,085
"McClain County, Oklahoma",Oklahoma,OK,40,McClain,087
"McCurtain County, Oklahoma",Oklahoma,OK,40,McCurtain,089
"McIntosh County, Oklahoma",Oklahoma,OK,40,McIntosh,091
"Major County, Oklahoma",Oklahoma,OK,40,Major,093
"Marshall County, Oklahoma",Oklahoma,OK,40,Marshall,095
"Mayes County, Oklahoma",Oklahoma,OK,40,Mayes,097
"Murray County, Oklahoma",Oklahoma,OK,40,Murray,099
"Muskogee County, Oklahoma",Oklahoma,OK,40,Muskogee,101
"Noble County, Oklahoma",Oklahoma,OK,40,Noble,103
"Nowata County, Oklahoma",Oklahoma,OK,40,Nowata,105
"Okfuskee County, Oklahoma",Oklahoma,OK,40,Okfuskee,107
"Oklahoma County, Oklahoma",Oklahoma,OK,40,Oklahoma,109
"Okmulgee County, Oklahoma",Oklahoma,OK,40,Okmulgee,111
"Osage County, Oklahoma",Oklahoma,OK,40,Osage,113
"Ottawa County, Oklahoma",Oklahoma,OK,40,Ottawa,115
"Pawnee County, Oklahoma",Oklahoma,OK,40,Pawnee,117
"Payne County, Oklahoma",Oklahoma,OK,40,Payne,119
"Pittsburg County, Oklahoma",Oklahoma,OK,40,Pittsburg,121
"Pontotoc County, Oklahoma",Oklahoma,OK,40,Pontotoc,123
"Pottawatomie County, Oklahoma",Oklahoma,OK,40,Pottawatomie,125
"Pushmataha County, Oklahoma",Oklahoma,OK,40,Pushmataha,127
"Roger Mills County, Oklahoma",Oklahoma,OK,40,Roger Mills,129
"Rogers County, Oklahoma",Oklahoma,OK,40,Rogers,131
"Seminole County, Oklahoma",Oklahoma,OK,40,Seminole,133
"Sequoyah County, Oklahoma",Oklahoma,OK,40,Sequoyah,135
"Stephens County, Oklahoma",Oklahoma,OK,40,Stephens,137
"Texas County, Oklahoma",Oklahoma,OK,40,Texas,139
"Tillman County, Oklahoma",Oklahoma,OK,40,Tillman,141
"Tulsa County, Oklahoma",Oklahoma,OK,40,Tulsa,143
"Wagoner County, Oklahoma",Oklahoma,OK,40,Wagoner,145
"Washington County, Oklahoma",Oklahoma,OK,40,Washington,147
"Washita County, Oklahoma",Oklahoma,OK,40,Washita,149
"Woods County, Oklahoma",Oklahoma,OK,40,Woods,151
"Woodward County, Oklahoma",Oklahoma,OK,40,Woodward,153
"Baker County, Oregon",Oregon,OR,41,Baker,001
"Benton County, Oregon",Oregon,OR,41,Benton,003
"Clackamas County, Oregon",Oregon,OR,41,Clackamas,005
"Clatsop County, Oregon",Oregon,OR,41,Clatsop,007
"Columbia County, Oregon",Oregon,OR,41,Columbia,009
"Coos County, Oregon",Oregon,OR,41,Coos,011
"Crook County, Oregon",Oregon,OR,41,Crook,013
"Curry County, Oregon",Oregon,OR,41,Curry,015
"Deschutes County, Oregon",Oregon,OR,41,Deschutes,017
"Douglas County, Oregon",Oregon,OR,41,Douglas,019
"Gilliam County, Oregon",Oregon,OR,41,Gilliam,021
"Grant County, Oregon",Oregon,OR,41,Grant,023
"Harney County, Oregon",Oregon,OR,41,Harney,025
"Hood River County, Oregon",Oregon,OR,41,Hood River,027
"Jackson County, Oregon",Oregon,OR,41,Jackson,029
"Jefferson County, Oregon",Oregon,OR,41,Jefferson,031
"Josephine County, Oregon",Oregon,OR,41,Josephine,033
"Klamath County, Oregon",Oregon,OR,41,Klamath,035
"Lake County, Oregon",Oregon,OR,41,Lake,037
"Lane County, Oregon",Oregon,OR,41,Lane,039
"Lincoln County, Oregon",Oregon,OR,41,Lincoln,041
"Linn County, Oregon",Oregon,OR,41,Linn,043
"Malheur County, Oregon",Oregon,OR,41,Malheur,045
"Marion County, Oregon",Oregon,OR,41,Marion,047
"Morrow County, Oregon",Oregon,OR,41,Morrow,049
"Multnomah County, Oregon",Oregon,OR,41,Multnomah,051
"Polk County, Oregon",Oregon,OR,41,Polk,053
"Sherman County, Oregon",Oregon,OR,41,Sherman,055
"Tillamook County, Oregon",Oregon,OR,41,Tillamook,057
"Umatilla County, Oregon",Oregon,OR,41,Umatilla,059
"Union County, Oregon",Oregon,OR,41,Union,061
"Wallowa County, Oregon",Oregon,OR,41,Wallowa,063
"Wasco County, Oregon",Oregon,OR,41,Wasco,065
"Washington County, Oregon",Oregon,OR,41,Washington,067
"Wheeler County, Oregon",Oregon,OR,41,Wheeler,069
"Yamhill County, Oregon",Oregon,OR,41,Yamhill,071
"Adams County, Pennsylvania",Pennsylvania,PA,42,Adams,001
"Allegheny County, Pennsylvania",Pennsylvania,PA,42,Allegheny,003
"Armstrong County, Pennsylvania",Pennsylvania,PA,42,Armstrong,005
"Beaver County, Pennsylvania",Pennsylvania,PA,42,Beaver,007
"Bedford County, Pennsylvania",Pennsylvania,PA,42,Bedford,009
"Berks County, Pennsylvania",Pennsylvania,PA,42,Berks,011
"Blair County, Pennsylvania",Pennsylvania,PA,42,Blair,013
"Bradford County, Pennsylvania",Pennsylvania,PA,42,Bradford,015
"Bucks County, Pennsylvania",Pennsylvania,PA,42,Bucks,017
"Butler County, Pennsylvania",Pennsylvania,PA,42,Butler,019
"Cambria County, Pennsylvania",Pennsylvania,PA,42,Cambria,021
"Cameron County, Pennsylvania",Pennsylvania,PA,42,Cameron,023
"Carbon County, Pennsylvania",Pennsylvania,PA,42,Carbon,025
"Centre County, Pennsylvania",Pennsylvania,PA,42,Centre,027
"Chester County, Pennsylvania",Pennsylvania,PA,42,Chester,029
"Clarion County, Pennsylvania",Pennsylvania,PA,42,Clarion,031
"Clearfield County, Pennsylvania",Pennsylvania,PA,42,Clearfield,033
"Clinton County, Pennsylvania",Pennsylvania,PA,42,Clinton,035
"Columbia County, Pennsylvania",Pennsylvania,PA,42,Columbia,037
"Crawford County, Pennsylvania",Pennsylvania,PA,42,Crawford,039
"Cumberland County, Pennsylvania",Pennsylvania,PA,42,Cumberland,041
"Dauphin County, Pennsylvania",Pennsylvania,PA,42,Dauphin,043
"Delaware County, Pennsylvania",Pennsylvania,PA,42,Delaware,045
"Elk County, Pennsylvania",Pennsylvania,PA,42,Elk,047
"Erie County, Pennsylvania",Pennsylvania,PA,42,Erie,049
"Fayette County, Pennsylvania",Pennsylvania,PA,42,Fayette,051
"Forest County, Pennsylvania",Pennsylvania,PA,42,Forest,053
"Franklin County, Pennsylvania",Pennsylvania,PA,42,Franklin,055
"Fulton County, Pennsylvania",Pennsylvania,PA,42,Fulton,057
"Greene County, Pennsylvania",Pennsylvania,PA,42,Greene,059
"Huntingdon County, Pennsylvania",Pennsylvania,PA,42,Huntingdon,061
"Indiana County, Pennsylvania",Pennsylvania,PA,42,Indiana,063
"Jefferson County, Pennsylvania",Pennsylvania,PA,42,Jefferson,065
"Juniata County, Pennsylvania",Pennsylvania,PA,42,Juniata,067
"Lackawanna County, Pennsylvania",Pennsylvania,PA,42,Lackawanna,069
"Lancaster County, Pennsylvania",Pennsylvania,PA,42,Lancaster,071
"Lawrence County, Pennsylvania",Pennsylvania,PA,42,Lawrence,073
"Lebanon County, Pennsylvania",Pennsylvania,PA,42,Lebanon,075
"Lehigh County, Pennsylvania",Pennsylvania,PA,42,Lehigh,077
"Luzerne County, Pennsylvania",Pennsylvania,PA,42,Luzerne,079
"Lycoming County, Pennsylvania",Pennsylvania,PA,42,Lycoming,081
"McKean County, Pennsylvania",Pennsylvania,PA,42,McKean,083
"Mercer County, Pennsylvania",Pennsylvania,PA,42,Mercer,085
"Mifflin County, Pennsylvania",Pennsylvania,PA,42,Mifflin,087
"Monroe County, Pennsylvania",Pennsylvania,PA,42,Monroe,089
"Montgomery County, Pennsylvania",Pennsylvania,PA,42,Montgomery,091
"Montour County, Pennsylvania",Pennsylvania,PA,42,Montour,093
"Northampton County, Pennsylvania",Pennsylvania,PA,42,Northampton,095
"Northumberland County, Pennsylvania",Pennsylvania,PA,42,Northumberland,097
"Perry County, Pennsylvania",Pennsylvania,PA,42,Perry,099
"Philadelphia County, Pennsylvania",Pennsylvania,PA,42,Philadelphia,101
"Pike County, Pennsylvania",Pennsylvania,PA,42,Pike,103
"Potter County, Pennsylvania",Pennsylvania,PA,42,Potter,105
"Schuylkill County, Pennsylvania",Pennsylvania,PA,42,Schuylkill,107
"Snyder County, Pennsylvania",Pennsylvania,PA,42,Snyder,109
"Somerset County, Pennsylvania",Pennsylvania,PA,42,Somerset,111
"Sullivan County, Pennsylvania",Pennsylvania,PA,42,Sullivan,113
"Susquehanna County, Pennsylvania",Pennsylvania,PA,42,Susquehanna,115
"Tioga County, Pennsylvania",Pennsylvania,PA,42,Tioga,117
"Union County, Pennsylvania",Pennsylvania,PA,42,Union,119
"Venango County, Pennsylvania",Pennsylvania,PA,42,Venango,121
"Warren County, Pennsylvania",Pennsylvania,PA,42,Warren,123
"Washington County, Pennsylvania",Pennsylvania,PA,42,Washington,125
"Wayne County, Pennsylvania",Pennsylvania,PA,42,Wayne,127
"Westmoreland County, Pennsylvania",Pennsylvania,PA,42,Westmoreland,129
"Wyoming County, Pennsylvania",Pennsylvania,PA,42,Wyoming,131
"York County, Pennsylvania",Pennsylvania,PA,42,York,133
